,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
MMM,0.0051571227428487635,0.3626321571979875,0.014221360793530265,NEM,0.16228796080698055,3M Company,Industrials,Industrial Conglomerates,MMM,NLOK,CLX,DXCM,REGN,NEM,LLY,NFLX,MKTX,AMZN,0.2828265277876503,0.23371858314302507,0.19,0.19,0.2,0.05,0.05,0.13,0.03,0.09,0.01,0.05,0.3967915301403725,0.2581205616353857,0.02,0.18,0.08,0.02,0.06,0.14,0.2,0.0,0.0,0.3
ABT,0.24991287253026573,0.37758145597839393,0.6618780360457276,VNT,0.13007910971390765,Abbott Laboratories,Health Care,Health Care Equipment,ABT,VNT,REGN,MU,LLY,NLOK,FFIV,DXCM,CLX,KEYS,0.47248788272348813,0.20058673125287427,0.01,0.31,0.01,0.01,0.07,0.12,0.06,0.1,0.23,0.07,0.47248788272348813,0.20058673125287427,0.01,0.31,0.01,0.01,0.07,0.12,0.06,0.1,0.23,0.07
ABBV,0.25389159518726545,0.33861812853685525,0.7497873675113406,NEM,0.10224417418895497,AbbVie Inc.,Health Care,Pharmaceuticals,ABBV,REGN,NLOK,CLX,DXCM,NEM,CHRW,CHD,UPS,FDX,0.27903900317140884,0.2203705457998477,0.18,0.0,0.2,0.2,0.01,0.12,0.18,0.03,0.05,0.02,0.32148340927060703,0.2408848930598279,0.09,0.12,0.12,0.23,0.07,0.2,0.03,0.0,0.04,0.09
ABMD,0.5731767682910709,0.44589924177808477,1.2854401052700817,VNT,0.009509302222811027,ABIOMED Inc,Health Care,Health Care Equipment,ABMD,MU,VNT,KEYS,FFIV,ANET,REGN,CTVA,LLY,SIVB,0.5789617898562676,0.2422382616251206,0.21,0.05,0.37,0.06,0.13,0.05,0.01,0.03,0.04,0.05,0.5789617898562676,0.2422382616251206,0.21,0.05,0.37,0.06,0.13,0.05,0.01,0.03,0.04,0.05
ACN,0.21271295110105312,0.3994598339378184,0.5325014758158761,VNT,0.1973360672132865,Accenture plc,Information Technology,IT Consulting & Other Services,ACN,REGN,NLOK,CLX,DXCM,LLY,NEM,MU,MKTX,NFLX,0.3243664856810684,0.25095261717500245,0.17,0.07,0.18,0.17,0.03,0.09,0.13,0.02,0.01,0.12,0.3701437386568235,0.25941456608818036,0.01,0.03,0.14,0.21,0.16,0.21,0.13,0.0,0.02,0.09
ATVI,0.405766563706986,0.3762610753436327,1.0784175943164105,MAR,-0.08046516342957412,Activision Blizzard,Communication Services,Interactive Home Entertainment,ATVI,MU,SIVB,CTVA,MS,KEYS,FFIV,ANET,TT,AMAT,0.3713564701262607,0.3181392554222292,0.31,0.02,0.01,0.05,0.07,0.1,0.26,0.07,0.06,0.04,0.40584686919894997,0.33519002307009926,0.33,0.02,0.09,0.19,0.06,0.08,0.02,0.03,0.18,0.0
ADBE,0.31769030081729677,0.46327076612316415,0.6857551221629131,VNT,0.03025253274147391,Adobe Inc.,Information Technology,Application Software,ADBE,VNT,MU,FFIV,LLY,KEYS,REGN,ANET,AMAT,SIVB,0.560482823538816,0.24513617171170488,0.02,0.43,0.03,0.14,0.12,0.14,0.02,0.01,0.02,0.07,0.560482823538816,0.24513617171170488,0.02,0.43,0.03,0.14,0.12,0.14,0.02,0.01,0.02,0.07
AMD,0.6719340108277099,0.5908751776346425,1.1371843601851028,CARR,0.0028526405819768153,Advanced Micro Devices Inc,Information Technology,Semiconductors,AMD,REGN,LLY,MU,DXCM,FFIV,NLOK,CLX,KEYS,ABBV,0.31885522420146173,0.24280739710901,0.02,0.09,0.17,0.01,0.0,0.19,0.21,0.22,0.04,0.04,0.39820799056252343,0.28408602271548006,0.14,0.01,0.3,0.01,0.06,0.2,0.08,0.19,0.02,0.0
AAP,0.07491960307145386,0.4602543318960269,0.16277870272903475,VNT,0.10081508455196338,Advance Auto Parts,Consumer Discretionary,Automotive Retail,AAP,REGN,NLOK,CLX,LLY,NEM,DXCM,VNT,NFLX,ANET,0.4400615019075073,0.20387619033372437,0.04,0.11,0.11,0.27,0.03,0.03,0.04,0.27,0.04,0.05,0.5089454804153474,0.20835850140154683,0.08,0.03,0.12,0.05,0.01,0.16,0.02,0.38,0.07,0.07
AES,0.3551887305698478,0.5714730734755379,0.6215318744760627,KR,0.06352204475038183,AES Corp,Utilities,Independent Power Producers & Energy Traders,AES,NLOK,NEM,DXCM,CLX,LLY,MKTX,EBAY,NFLX,EA,0.3413294170767174,0.24043618969109692,0.05,0.16,0.05,0.05,0.22,0.17,0.01,0.1,0.07,0.1,0.37268375504486595,0.24749661475505733,0.01,0.11,0.19,0.05,0.15,0.16,0.04,0.13,0.14,0.0
AFL,-0.09632101808113382,0.5567680878452161,-0.17300024944660883,CLX,-0.07174361728137323,AFLAC Inc,Financials,Life & Health Insurance,AFL,FAST,ABT,TMO,AMD,SNPS,CMG,TTWO,DHR,AAPL,0.35540053694328877,0.2971380438212542,0.09,0.15,0.07,0.13,0.01,0.02,0.14,0.17,0.17,0.03,0.5039180463584035,0.3452006290773737,0.0,0.01,0.03,0.1,0.13,0.26,0.01,0.11,0.28,0.08
