,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
MMM,0.02991373022601621,0.3625099267625105,0.08251837540882972,NEM,0.1615281651680666,3M Company,Industrials,Industrial Conglomerates,MMM,NLOK,CLX,REGN,DXCM,NEM,LLY,NFLX,AMZN,EBAY,0.3279206736548074,0.23091266139896435,0.14,0.19,0.2,0.02,0.03,0.07,0.09,0.02,0.09,0.14,0.4374603144694197,0.2583983745030984,0.0,0.15,0.06,0.0,0.06,0.11,0.19,0.1,0.21,0.11
ABT,0.25192321781305504,0.37696906907559224,0.6682861764516224,VNT,0.10704546879702648,Abbott Laboratories,Health Care,Health Care Equipment,ABT,VNT,REGN,MU,LLY,NLOK,DXCM,AES,FFIV,CLX,0.42483421946659256,0.20072939750103852,0.03,0.25,0.04,0.03,0.1,0.15,0.03,0.0,0.19,0.18,0.4729037090507842,0.21234687395917196,0.06,0.34,0.01,0.07,0.09,0.07,0.11,0.03,0.05,0.16
ABBV,0.26020377424575525,0.338206780322326,0.7693629737339079,NEM,0.10256822195598311,AbbVie Inc.,Health Care,Pharmaceuticals,ABBV,REGN,NLOK,CLX,DXCM,NEM,CHRW,UPS,AES,FDX,0.28937864242043554,0.22295618397251565,0.12,0.06,0.11,0.28,0.0,0.07,0.2,0.1,0.01,0.04,0.34317573464339024,0.24566258154009293,0.07,0.07,0.2,0.22,0.1,0.18,0.04,0.01,0.06,0.05
ABMD,0.5937636886495857,0.445550883482716,1.3326506817994432,VNT,-0.0056986260251346635,ABIOMED Inc,Health Care,Health Care Equipment,ABMD,MU,AES,VNT,KEYS,REGN,FFIV,ANET,CTVA,LLY,0.46108752101035266,0.23341102651227416,0.04,0.07,0.04,0.27,0.01,0.19,0.24,0.0,0.01,0.12,0.5038340475134988,0.23513647746142513,0.18,0.01,0.05,0.29,0.03,0.09,0.25,0.01,0.04,0.06
ACN,0.2411899202586416,0.39895645930322304,0.6045519871513786,VNT,0.18525577997667053,Accenture plc,Information Technology,IT Consulting & Other Services,ACN,REGN,NLOK,CLX,DXCM,LLY,NEM,MU,NFLX,FFIV,0.34330161275475024,0.23800700807245037,0.03,0.03,0.23,0.23,0.02,0.03,0.12,0.03,0.08,0.2,0.4268972081687974,0.269570691169699,0.0,0.05,0.07,0.06,0.08,0.23,0.17,0.02,0.24,0.07
ATVI,0.45321734582780454,0.37670937450585185,1.203095480228789,MAR,-0.08263967939042527,Activision Blizzard,Communication Services,Interactive Home Entertainment,ATVI,AES,MU,SIVB,CTVA,MS,KEYS,REGN,ANET,TT,0.39514619695160325,0.3037737614571402,0.23,0.06,0.0,0.04,0.06,0.03,0.07,0.18,0.12,0.19,0.4151221794000793,0.31718730537967826,0.28,0.02,0.05,0.03,0.14,0.01,0.04,0.13,0.19,0.1
ADBE,0.3363974982302283,0.46286184918294826,0.7267773285355943,VNT,0.03772260220104406,Adobe Inc.,Information Technology,Application Software,ADBE,VNT,MU,FFIV,AES,LLY,KEYS,REGN,ANET,AMAT,0.4969578017891281,0.24358951741082166,0.04,0.36,0.03,0.23,0.08,0.14,0.01,0.05,0.01,0.05,0.4969578017891281,0.24358951741082166,0.04,0.36,0.03,0.23,0.08,0.14,0.01,0.05,0.01,0.05
AMD,0.6695347816469803,0.5898856350747382,1.1350247265508517,CARR,0.0031120372210535763,Advanced Micro Devices Inc,Information Technology,Semiconductors,AMD,REGN,LLY,MU,DXCM,FFIV,NLOK,CLX,AES,KEYS,0.32621457319836367,0.2493545522095388,0.01,0.19,0.06,0.04,0.02,0.22,0.19,0.21,0.0,0.05,0.3904996404536504,0.2720269034747051,0.12,0.05,0.2,0.03,0.06,0.14,0.19,0.15,0.03,0.02
AAP,0.050659035539264485,0.4586177608059364,0.11046025659852454,VNT,0.09315040592469219,Advance Auto Parts,Consumer Discretionary,Automotive Retail,AAP,REGN,NLOK,CLX,LLY,NEM,DXCM,VNT,NFLX,ANET,0.44291699387524597,0.2041128569788528,0.06,0.03,0.12,0.27,0.1,0.04,0.0,0.28,0.11,0.0,0.5280811277076213,0.21893842459302684,0.02,0.01,0.08,0.04,0.03,0.12,0.11,0.37,0.18,0.03
AES,0.39405559969495685,0.5701098086142956,0.6911924575596152,KR,0.06467873720558663,AES Corp,Utilities,Independent Power Producers & Energy Traders,AES,NLOK,NEM,DXCM,CLX,LLY,EBAY,NFLX,REGN,EA,0.3352978666878426,0.2385061574158853,0.02,0.22,0.06,0.03,0.28,0.02,0.16,0.01,0.11,0.08,0.4093935761561622,0.251538004986912,0.01,0.18,0.17,0.03,0.11,0.17,0.13,0.17,0.02,0.01
